URL,Last crawled
https://scamchecker.app/how-it-works,1970-01-01
https://scamchecker.app/i-got-a-scam-message,1970-01-01
https://scamchecker.app/latest-scams,1970-01-01
https://scamchecker.app/privacy,1970-01-01
https://scamchecker.app/reports/crypto-wallets,1970-01-01
https://scamchecker.app/reports/latest,1970-01-01
https://scamchecker.app/reports/trending,1970-01-01
https://scamchecker.app/scam-examples,1970-01-01
https://scamchecker.app/scam-guides,1970-01-01
https://scamchecker.app/scam-tools,1970-01-01
https://scamchecker.app/terms,1970-01-01
